Tara Oceans Datasets,,,,,,,,,,,,,
Student,Region,Run ID,Filename,Sample details,Lat/Long,Depth,Temp,Chlorophyl,Nitrate,Oxygen,Salinity,Downloaded,Link to info
Busayo,Southern Ocean (near Antarctica),ERR599104,/usr/local/data/Tara_datasets/Southern_Ocean/ERR599104_sample.fasta,deep chlorophyll maximum layer,"-62.2231 , -49.2139",90 m, -0.78154 °C,0.540091 mg Chl/m3,33.109231 µmol/L,325.402987 µmol/Kg,34.319478 psu,"Processed nucleotide reads, part 1",https://www.ebi.ac.uk/metagenomics/projects/ERP001736/samples/ERS491095/runs/ERR599104/results/versions/2.0
Will,Southern Ocean (near Antarctica),ERR599090,/usr/local/data/Tara_datasets/Southern_Ocean/ERR599090_sample.fasta,surface water layer,"-62.0385 , -49.5290",5 m,0.67108 °C,0.065273 mg Chl/m3,27.501159 µmol/L,343.4373 µmol/Kg,34.35388 psu,"Processed nucleotide reads, part 1",https://www.ebi.ac.uk/metagenomics/projects/ERP001736/samples/ERS491044/runs/ERR599090/results/versions/2.0
Adriana,Southern Ocean (near Antarctica),ERR599008,/usr/local/data/Tara_datasets/Southern_Ocean/ERR599008_sample.fasta,mesopelagic zone ,"-61.9689 , -49.5017",790 m,0.45883 °C,0.010087 mg Chl/m3,38.821249 µmol/L,203.8394 µmol/Kg,34.67996 psu,"Processed nucleotide reads, part 1",https://www.ebi.ac.uk/metagenomics/projects/ERP001736/samples/ERS491110/runs/ERR599008/results/versions/2.0
Blades,South Pacific (near the Marquesas),ERR598948,/usr/local/data/Tara_datasets/South_Pacific/ERR598948_sample.fasta,deep chlorophyll maximum layer,"-9.0063 , -139.1394",115 m,24.69625 °C,0.295808 mg Chl/m3,2.333576 µmol/L,179.916875 µmol/Kg,36.097575 psu,"Processed nucleotide reads, part 1",https://www.ebi.ac.uk/metagenomics/projects/ERP001736/samples/ERS492699/runs/ERR598948/results/versions/2.0
Viola,South Pacific (near the Marquesas),ERR598992,/usr/local/data/Tara_datasets/South_Pacific/ERR598992_sample.fasta,surface water layer,"-8.9971 , -139.1963",5 m,26.54413 °C,0.166512 mg Chl/m3, 3.986359 µmol/L,186.2407 µmol/Kg,35.3662 psu,"Processed nucleotide reads, part 1",https://www.ebi.ac.uk/metagenomics/projects/ERP001736/samples/ERS492642/runs/ERR598992/results/versions/2.0
Alief,South Pacific (near the Marquesas),ERR598999,/usr/local/data/Tara_datasets/South_Pacific/ERR598999_sample.fasta,mesopelagic zone,"-8.9729 , -139.2393",600 m, 7.212238 °C,0 mg Chl/m3,42.53205 µmol/L,38.115125 µmol/Kg,34.580675 psu,"Processed nucleotide reads, part 1",https://www.ebi.ac.uk/metagenomics/projects/ERP001736/samples/ERS492680/runs/ERR598999/results/versions/2.0
Preethiya,North Pacific,ERR598995,/usr/local/data/Tara_datasets/North_Pacific/ERR598995_sample.fasta,deep chlorophyll maximum layer,"31.5168 , -159.0460",115 m,15.284298 °C,0.276677 mg Chl/m3,0.732507 µmol/L,225.501338 µmol/Kg,34.36909 psu,"Processed nucleotide reads, part 1",https://www.ebi.ac.uk/metagenomics/projects/ERP001736/samples/ERS493340/runs/ERR598995/results/versions/2.0
Avery,North Pacific,ERR598980,/usr/local/data/Tara_datasets/North_Pacific/ERR598980_sample.fasta,mesopelagic zone,"31.5280 , -159.0224",550 m,6.689724 °C, 0.005017 mg Chl/m3,29.0941 µmol/L,138.735952 µmol/Kg,34.000507 psu,"Processed nucleotide reads, part 1",https://www.ebi.ac.uk/metagenomics/projects/ERP001736/samples/ERS493372/runs/ERR598980/results/versions/2.0
Elaina,North Pacific,ERR599142,/usr/local/data/Tara_datasets/North_Pacific/ERR599142_sample.fasta,surface water layer ,"31.5213 , -158.9958",5 m,25.173925 °C,0.057131 mg Chl/m3,-0.979589 µmol/L,197.682417 µmol/Kg,35.181842 psu,"Processed nucleotide reads, part 1",https://www.ebi.ac.uk/metagenomics/projects/ERP001736/samples/ERS493300/runs/ERR599142/results/versions/2.0
,North Atlantic (off the coast of Portugal),ERR599001,/usr/local/data/Tara_datasets/North_Atlantic_Portugal/ERR599001_sample.fasta,water layer with no specific feature,"43.7684 , -16.9047",5-160 m,---,---,---,---,---,"Processed nucleotide reads, part 1",https://www.ebi.ac.uk/metagenomics/projects/ERP001736/samples/ERS494628/runs/ERR599001/results/versions/2.0
,North Atlantic (off the coast of Portugal),ERR598944,/usr/local/data/Tara_datasets/North_Atlantic_Portugal/ERR598944_sample.fasta,mesopelagic zone,"43.7182 , -16.8714",800 m,,0.001345 mg Chl/m3,18.205769 µmol/L,175.306683 µmol/Kg,35.539507 psu,"Processed nucleotide reads, part 1",https://www.ebi.ac.uk/metagenomics/projects/ERP001736/samples/ERS494616/runs/ERR598944/results/versions/2.0
,North Atlantic (off the coast of Portugal),ERR599078,/usr/local/data/Tara_datasets/North_Atlantic_Portugal/ERR599078_sample.fasta,surface water layer,"43.6792 , -16.8344",5 m,14.28065 °C,0.238225 mg Chl/m3,2.999226 µmol/L,243.148 µmol/Kg,35.986042 psu,"Processed nucleotide reads, part 1",https://www.ebi.ac.uk/metagenomics/projects/ERP001736/samples/ERS494579/runs/ERR599078/results/versions/2.0
Dustin,Arabian Sea,ERR599031,/usr/local/data/Tara_datasets/Arabian_Sea/ERR599031_sample.fasta,mesopelagic zone,"20.8457 , 63.5851",600 m,12.066048 °C,0.005649 mg Chl/m3,31.802451 µmol/L,1.63999 µmol/Kg,35.693546 psu,"Processed nucleotide reads, part 1",https://www.ebi.ac.uk/metagenomics/projects/ERP001736/samples/ERS488769/runs/ERR599031/results/versions/2.0
,Arabian Sea,ERR598974,/usr/local/data/Tara_datasets/Arabian_Sea/ERR598974_sample.fasta,deep chlorophyll maximum layer,"20.8222 , 63.5133",17 m,25.37395 °C,0.353707 mg Chl/m3,0.367767 µmol/L,211.606583 µmol/Kg,36.549267 psu,"Processed nucleotide reads, part 1",https://www.ebi.ac.uk/metagenomics/projects/ERP001736/samples/ERS488747/runs/ERR598974/results/versions/2.0
